me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
Poultry Shake Cocktail,455878657,Cocktail,BAR,2.27,2.27,True
Prairie Christmas Bomb,522484127,Draught Beer,BAR,3.27,3.27,True
Prairie Slush,562619406,Beer,BAR,2.5,2.5,True
Prairie Watermelon Girlfriend,669143905,Beer,BAR,2.5,2.5,True
Pretty Polly,398109955,Cocktail,BAR,1.35,1.35,True
Privateer Big Dipper Barrel #2,460604478,Spirits,BAR,2.01,2.01,False
Privateer Latin Quarter,1175095473,Cocktail List,BAR,3.79,3.79,False
Privateer Letter of Marque #3 ,1109522028,Spirits,BAR,2.01,2.01,False
Privateer Letter of Marque Daiquiri,493497529,Cocktail,BAR,3.02,3.02,True
Privateer Silver Daiquiri,493497347,Cocktail,BAR,1.64,1.64,False
Privateer White Daiquiri,452333476,Cocktail,BAR,1.64,1.64,False
Probitas Daiquiri,412029599,Cocktail,BAR,2.1,2.1,False
Probitas Shot,562604321,Spirits,BAR,1.32,1.32,False
Proclamation Broze,840763333,Beer,BAR,0,,True
Prowl,871600094,Cocktail,BAR,1.16,1.16,False
Pumpernickel Bagel,246309202,Breads,MENU,0.16,0.16,False
"Pumpernickel Bagels, Frozen 6-pacl",246309288,Freezer,MENU,1,1,False
Pumpernickel Cookies,401564709,Pastries,MENU,0.56,0.56,False
Pumpkin Old Fashioned,996538208,Cocktail,BAR,0.12,0.12,False
Pumpkin Pie - 6in,1010028926,Holiday Items,MENU,1.53,1.53,False
Pumpkin Pie - 9in,1010024655,Holiday Items,MENU,4.02,4.02,False
Punch Bowl Pitcher With Cognac,484597640,Cocktail,BAR,9.91,9.91,False
Punch Bowl Pitcher With Genever,484597561,Cocktail,BAR,8.34,8.34,False
Punt e mes,816682337,Spirits,BAR,6.65,6.65,False
Puntas,725176423,Spirits,BAR,3.55,3.55,False
Purple Margarita,412308740,Cocktail,BAR,2.98,2.98,False
Puzzle- 100 Most Jewish Foods,413852707,Retail,MENU,12.48,12.48,False
Quart Matzah Ball Soup,245901621,Freezer,MENU,1.95,1.95,False
Rabarbaro Spritz,973136839,Cocktail,BAR,2.97,2.97,True
Rabo de Galo,628074380,Cocktail,BAR,2.55,2.55,True
Radio Spot NOT AR,253800043,Cocktail,BAR,1.92,1.92,True
Raspberry Lime Rickey (HQ/WS),417106209,Drinks,MENU,1.57,1.57,False
Raspberry Lime Ricky (HSP),476126381,Drinks,MENU,0.7,0.7,False
Raspberry Sufganiyot,316351508,Holiday Items,MENU,0.84,0.84,False
Ray Jane Gl,697250777,Wine,BAR,2.37,2.37,True
Ray Jane IGP Du Var Rosé 2024,1169792256,Wine,BAR,2.17,2.17,False
Red Curry Chicken Pot Pie,873140065,Entree Plates,MENU,2.22,2.22,False
Red Drink,909515255,Cocktail,BAR,3.24,3.24,True
Redbreast,725179099,Spirits,BAR,3.39,3.39,False
Redondo,316416599,Cocktail,BAR,2.52,2.52,False
Reissdorf Kolsch,421844736,Beer,BAR,2.33,2.33,False
Remnant Multiball can,841240224,Beer,BAR,0,,True
Renegade Swimming Pool Rum,816634785,Spirits,BAR,3.7,3.7,False
Repo Cocktail - Negroni,253800296,Cocktail,BAR,1.35,1.35,True
Retail - Everything Spice,413836310,Retail,MENU,1.19,1.19,False
Retail - Gribenes (4oz),465932917,Retail,MENU,0.66,0.66,False
Retail - Lox Cream Cheese,842805741,Deli Case,MENU,3.4,3.4,True
Retail - Pickled Herring,425498272,Deli Case,MENU,3.23,3.23,True
Retail - Plain Cream Cheese,842804502,Deli Case,MENU,1.92,1.92,True
Retail - Plain Tofutti,842806160,Deli Case,MENU,1.53,1.53,False
Retail - Scallion Cream Cheese,842804929,Deli Case,MENU,1.93,1.93,True
Retail - Scallion Tofutti,842807409,Deli Case,MENU,1.55,1.55,False
Retail - Seedy Everything Crackers,425513959,Retail,MENU,1.46,1.46,False
Retail - Veggie Cream Cheese,842805362,Deli Case,MENU,1.79,1.79,True
Reuben Egg Roll (retail freezer),528412335,Freezer,MENU,4.07,4.07,False
Revery Sour,445373796,Cocktail,BAR,1.92,1.92,True
RH Stuffed Peppers w/ Harissa Tomato Sauce,707371366,Holiday Items,MENU,4.69,4.69,False
Rickenbacker,280322036,Cocktail,BAR,1.92,1.92,False
Rittenhouse 250,1269289519,Spirits,BAR,4.58,4.58,False
Rittenhouse Shot,449579053,Spirits,BAR,1.12,1.12,False
River Antoine Daiquiri,493500675,Cocktail,BAR,3.58,3.58,False
Roasted Baby Carrots,488179100,Appetizers,MENU,4.22,4.22,True
Roasted Delicata Squash,795087551,Appetizers,MENU,1.89,1.89,True
Rochefort 8,421845248,Beer,BAR,3.83,3.83,False
Rock HIll Farms,1037138594,Spirits,BAR,2.79,2.79,False
Rodrigues,398105516,Cocktail,BAR,1.61,1.61,True
Roku Gin Shot,652784781,Spirits,BAR,1.35,1.35,False
Root Beer - Fountainhead ,973352117,N/A Bev,BAR,0.1,0.1,False
Root Vegetable Tzimmes,377252909,Holiday Items,MENU,2.83,2.83,False
Roterfaden Terraces,562623085,Wine,BAR,2.36,2.36,True
"Rugelach, Chocolate - 1 each",338646536,Pastries,MENU,0.09,0.09,False
"Rugelach, Raspberry - 1 each",338660566,Pastries,MENU,0.14,0.14,False
Rum Cannonball,1057081174,Cocktail,BAR,2.59,2.59,False
Rum Espresso Martini,1159284789,Cocktail,BAR,3.16,3.16,False
Running With Flowers,535294426,Cocktail,BAR,2.33,2.33,False
Russian Dressing (retail-12 oz squeeze bottle),297615674,Deli Case,MENU,2.08,2.08,False
Sable Sandwich,247940838,Sandwiches,MENU,4.11,4.11,False
Sable Sandwich 2.0,409363094,Sandwiches,MENU,4.11,4.11,False
Sacred Profane Amber Lager,833069101,Beer,BAR,3.04,3.04,True
Sagamore 10 rye,1009002576,Spirits,BAR,3.57,3.57,False
Sakiskes Raspberry Gose Sour Ale 11.2oz Bottle,1040109445,Beer,BAR,6.33,6.33,True
"Salami, Egg, and Cheese Sandwich",245925260,Sandwiches,MENU,1.8,1.8,False
Salers Gentiane Aperitif,494490923,Spirits,BAR,1.02,1.02,False
Sarah Scull,280320968,N/A Bev,BAR,1.19,1.19,False
Satsuma Shuzo Shiranami Shochu,816669304,Spirits,BAR,0,,False
Saturn - Single,383862544,Cocktail,BAR,2.49,2.49,False
Sazerac 6 Yr Shot,562592435,Spirits,BAR,1.18,1.18,False
Scallion Cream Cheese (half pint),239548659,Deli Case,MENU,1.93,1.93,False
Scallion Tofutti (half pint),239551363,Deli Case,MENU,1.55,1.55,False
Schlenkerla Erle,562640001,Beer,BAR,3.45,3.45,True
Schlenkerla Helles Lager,421846340,Beer,BAR,3.01,3.01,True
Schlenkerla Urbock,562640289,Beer,BAR,3.6,3.6,True
Schlep Tote,413861897,Retail,MENU,9.54,9.54,False
Schmaltz - 1/2#,375817918,Freezer,MENU,1.5,1.5,False
Schmaltz Potatoes,551764976,Dinner Catering,MENU,7.35,7.35,False
Schneeule Marianna,708774990,Beer,BAR,8.75,8.75,True
Seder Plate - Passover,587231076,Holiday Items,MENU,6.79,6.79,False
"Seed & Mill, Cardamom",413241865,Retail,MENU,6.35,6.35,False
"Seed & Mill, Chocolate",413242300,Retail,MENU,6.35,6.35,False
"Seed & Mill, Coconut",413243105,Retail,MENU,1.11,1.11,True
"Seed & Mill, Pistachio",413242624,Retail,MENU,6.35,6.35,False
Seeded Rye Manhattan,297795570,Cocktail,BAR,1.01,1.01,False
Select,816681227,Spirits,BAR,1.13,1.13,False
Sesame Bagel,246303515,Breads,MENU,0.16,0.16,False
Sfumato Cappelletti ,816673453,Spirits,BAR,1.02,1.02,False
Shacksbury Arlo Cider,421841907,Beer,BAR,1.93,1.93,True
Shacksbury Vermonter,924890899,Beer,BAR,1.93,1.93,True
Shacksbury Yuzu,1022114896,Beer,BAR,1.93,1.93,False
Sherry Cobbler,311638092,Cocktail,BAR,1.6,1.6,False
Shiner Bock,421843415,Beer,BAR,1.28,1.28,False
Shonen Knife,1208543983,Cocktail,BAR,1.66,1.66,False
Shorty Narragansett,421896407,Draught Beer,BAR,0.5,0.5,False
Shorty Notch Pils,804518231,Draught Beer,BAR,0.91,0.91,False
Shorty Remnant Hangtime,933375872,Draught Beer,BAR,1.48,1.48,False
Shorty SP Dark,933375307,Draught Beer,BAR,1.53,1.53,False
Shorty ZG Conehead,933376986,Draught Beer,BAR,0.83,0.83,False
Side Ketchup,1234737342,Big Dipper Sauces,MENU,0.07,0.07,False
Side Mayo ,854447371,Big Dipper Sauces,MENU,0.16,0.16,False
Side of Coleslaw,301812373,Sides,MENU,1,1,False
Side of Cream Cheese,301813400,Sides,MENU,0.29,0.29,False
Side of Mustard,301816892,Sides,MENU,0.28,0.28,False
Side of Pickles,301811410,Sides,MENU,0.93,0.93,False
Side of Potato Salad,301817399,Sides,MENU,0.72,0.72,False
Side of Russian Dressing,301818243,Sides,MENU,0.1,0.1,False
Side Sauce - Buttermilk Ranch,298739269,Big Dipper Sauces,MENU,0.17,0.17,False
Side Sauce - Vegan Burger Sauce,298739402,Big Dipper Sauces,MENU,0.32,0.32,True
Side Sauce- Garlic Aioli,298739336,Big Dipper Sauces,MENU,0.34,0.34,True
Side Sauce- Nashville Hot Aioli,298739247,Big Dipper Sauces,MENU,0.34,0.34,False
Siembra Valles Blanco,454435686,Spirits,BAR,2.57,2.57,False
Siembra Valles Margarita,485213076,Cocktail,BAR,4,4,True
Siesta,883185039,Cocktail,BAR,3.02,3.02,False
Siete Leguas,816649636,Spirits,BAR,88.07,88.07,False
Silver Dollar,323431456,Cocktail,BAR,2.88,2.88,True
Silver Monk,652771540,Cocktail,BAR,4.87,4.87,False
Singani 63 Aquaduct,607337766,Cocktail,BAR,2.47,2.47,False
Singhani 63,816683939,Spirits,BAR,1.62,1.62,False
Slice Pain De Mie,977794069,Sides,MENU,0.16,0.16,False
Slow Roasted Salmon for 12 ppl,551780589,Dinner Catering,MENU,40.09,40.09,False
Smith & Cross,803394399,Spirits,BAR,1.44,1.44,False
Smith and Cross Daiquiri,493501867,Cocktail,BAR,2.26,2.26,False
Smoke Show,882322928,Cocktail,BAR,2.17,2.17,False
Smoked FIsh Platter (for 2),316851975,Large Brunch Packages,MENU,11.7,11.7,False
Smoked Fish Platter (for 6),316850942,Large Brunch Packages,MENU,22.26,22.26,False
Snake Driver,253801493,Cocktail,BAR,2.89,2.89,True
Socks- Nice Jewish Boy,413858436,Retail,MENU,6.75,6.75,False
Socks- Nice Jewish Girl,413858585,Retail,MENU,3.38,3.38,False
Sophie Siadou Glass,562623886,Wine,BAR,2.37,2.37,True
Sparkling Watermelon Daiquiri,434939474,Cocktail,BAR,1.63,1.63,False
Spindrift - Grapefruit,379449035,Drinks,MENU,0.97,0.97,False
Spindrift - Pineapple,379450542,Drinks,MENU,0.97,0.97,False
Spindrift Blood Orange Tangerine,684889075,Beer,BAR,1.3,1.3,True
Splash 1 NOT AR,253802541,Cocktail,BAR,1.76,1.76,True
Sprindrift - Orange Mango,379450135,Drinks,MENU,0.97,0.97,False
St George Gin Shot,601973639,Spirits,BAR,1.68,1.68,False
St George Terroir Gin,816665340,Spirits,BAR,1.68,1.68,False
St George Terroir Gin Gibson,601956351,Cocktail,BAR,2.86,2.86,False
St Lucia Bounty Rum Shot,562605465,Spirits,BAR,0.8,0.8,False
State Park Cocktail,253802831,Cocktail List,BAR,2.42,2.42,False
State Park Kid's Burger,488873847,Sandwiches,MENU,2.16,2.16,False
State Park Kid's Fried Chicken Sandwich,488874133,Sandwiches,MENU,2.34,2.34,False
State Park Kid's Grilled Cheese,488873282,Sandwiches,MENU,0.97,0.97,False
State Park Kid's Impossible Burger,488881816,Sandwiches,MENU,2.59,2.59,True
State Park Notch Lager,522467401,Beer,BAR,2,2,True
Steamed Mussels,298754850,Appetizers,MENU,5.02,5.02,True
"Sticker- 3"" Mamalehs Face",413856077,Retail,MENU,0.46,0.46,False
Stinger,758885640,Cocktail,BAR,3.93,3.93,False
