toast_item,match_status,recipe_name,recipe_id,category,yield_qty,yield_unit,scale_numerator,scale_denominator,scale_decimal,cost,effective_cost,price,match_source
Joyva Jell Rings,reviewed,"Candy, Joyva Jelly Rings",413235773,MENU,1,EACH,1,1,1,1.21,1.21,1.21,top3
Lactaid Pill,no_match,,,,,,,,,,,,
Larger Whole Chocolate Layer Cakes  (v),no_match,,,,,,,,,,,,
Lawson's Sip of Sunshine IPA,reviewed,Lawson's Sip of Sunshine,468682248,BAR,1,SERVING,1,1,1,3.15,3.15,3.15,top3
Lemon Poppy Seed Muffin (v) (gf),reviewed,Lemon Poppyseed Cake Slice,286327031,MENU,1,SLICE,1,1,1,0.44,0.44,0.44,top3
"Life Savers, Wint O Green",no_match,,,,,,,,,,,,
Malted Brandy Alexander Milkshake (boozy! 21+),no_match,,,,,,,,,,,,
Mamaleh's Corned Beef (1/2 lb retail),reviewed,1/2# Corned Beef,247932824,MENU,1,EACH,1,1,1,5.46,5.46,5.46,top3
Mamaleh's Pastrami (1/2 lb retail),reviewed,1/2# Pastrami,247932478,MENU,1,EACH,1,1,1,4.97,4.97,4.97,top3
Mamaleh's Raspberry Jam (10oz),reviewed,"Transfer - Retail, Raspberry Jams",312313244,PREPARED,1,CASE,1,1,1,1.33,1.33,1.33,search
Mamaleh's Tongue (1/4 lb),reviewed,Hot Tongue (4 oz) Sandwich,245345490,MENU,1,EACH,1,1,1,4.89,4.89,4.89,search
Mandel Bread (v),reviewed,Bakery - Mandel Bread,785951774,PREPARED,1,EACH,1,1,1,0.41,0.41,0.41,search
MANISCHEWITZ (a whole bottle!),no_match,,,,,,,,,,,,
Manischewitz Shpritz,reviewed,Manischewitz Spritz,478090009,MENU,20,FLUID_OUNCE,1,1,1,1.08,1.08,1.08,top3
Mapleline Farm Chocolate Milk,reviewed,Chocolate Milk - Mapleline,379463189,MENU,1,BOTTLE,1,1,1,1.9,1.9,1.9,top3
Matzah Ball Soup (frozen quart),reviewed,Commissary Retail - Matzah Ball Soup - Quart Frozen,255181905,PREPARED,1,QUART,1,1,1,2.12,2.12,2.12,search
"Meat Knish (4, frozen)",reviewed,Meat Knish Frozen 4 Pack,375807978,MENU,1,BAG,1,1,1,3.38,3.38,3.38,top3
Medusa Pilsner,no_match,,,,,,,,,,,,
Mimosa (prosecco and OJ),no_match,,,,,,,,,,,,
Mixed Up Classic Margarita,no_match,,,,,,,,,,,,
Mixed Up Gin Grapefruit Mule,no_match,,,,,,,,,,,,
Mixed Up Lemon Raspberry Mojito,no_match,,,,,,,,,,,,
Mocha Milkshake (boozy! 21+),no_match,,,,,,,,,,,,
Mushroom Barley Soup (frozen quart),reviewed,Mushroom Barley Soup (retail quart),527932246,MENU,1,EACH,1,1,1,3.5,3.5,3.5,top3
"Need cutlery, napkins, or handle bag?",no_match,,,,,,,,,,,,
Noodle Kugel (frozen) (v),reviewed,Noodle Kugel (retail),301909008,MENU,1,EACH,1,1,1,3.81,3.81,3.81,top3
Nova Lox (1/2 lb hand-sliced),reviewed,1/2# Nova (hand-sliced),247931929,MENU,1,EACH,1,1,1,7.69,7.69,7.69,top3
Nova Lox (1/2 lb retail package),reviewed,1/2# Nova (hand-sliced),247931929,MENU,1,EACH,1,1,1,7.69,7.69,7.69,search
Nova Lox (1/4 lb retail package),reviewed,Pastrami Lox - Retail 1/4#,408874951,MENU,1,EACH,1,1,1,2.38,2.38,2.38,top3
Orthodox Chew each,reviewed,"Candy, Orthodox Chews",413232050,MENU,1,EACH,1,1,1,0.01,0.01,0.01,top3
"Pastrami Bolognese (frozen, pint)",reviewed,Pastrami Bolognese (bulk),1116877173,PREPARED,24,PINT,1,24,0.041666666666666664,58.83,2.45125,58.83,search
"Pastrami, Egg, and Cheese",reviewed,"Pastrami, Egg, and Cheese Sandwich",245922083,MENU,1,EACH,1,1,1,1.95,1.95,1.95,top3
Pickle Cotton Candy,reviewed,"Candy, Pickle Cotton Candy",413236627,MENU,1,EACH,1,1,1,2.54,2.54,2.54,top3
Pickle Salt (4oz),reviewed,Commissary - Pickle Salt Jar,598392923,PREPARED,2,OUNCE,1,1,1,1.08,1.08,1.08,search
Pickled Carrots (half pint),reviewed,Pickled Carrots - Retail,375801415,MENU,1,CONTAINER,1,1,1,0.57,0.57,0.57,top3
Pickled Green Tomatoes (quart),reviewed,Pickled Green Tomatoes (retail Pint),301896777,MENU,1,PINT,1,1,1,3.29,3.29,3.29,top3
Pickled Herring in Wine (half pint),reviewed,Herring in Wine (half pint),301905947,MENU,1,EACH,1,1,1,3.3,3.3,3.3,top3
Pinot Project Pinot Grigio,no_match,,,,,,,,,,,,
Pinot Project ROSE (Copy),no_match,,,,,,,,,,,,
Polar Seltzer,reviewed,Polar Seltzer Water,379459268,MENU,1,CAN,1,1,1,0.64,0.64,0.64,top3
Potato Knish (frozen) (v+),reviewed,Potato Knish Frozen 4 pack,375813038,MENU,1,BAG,1,1,1,1.13,1.13,1.13,top3
Raspberry Walnut Rugelach each (v),reviewed,Bakery - Raspberry Rugelach - Frozen,785950924,PREPARED,1,EACH,1,1,1,0.14,0.14,0.14,search
Redeemed Drink Ticket,no_match,,,,,,,,,,,,
Rendez Vous Hard Candy,reviewed,"Candy, Rendez Vous Hard Candy",413237108,MENU,1,EACH,1,1,1,1.92,1.92,1.92,top3
Rescue Club Pils (non-alcoholic),no_match,,,,,,,,,,,,
Russian Dressing (10oz),reviewed,Russian Dressing (retail-12 oz squeeze bottle),297615674,MENU,1,EACH,1,1,1,2.08,2.08,2.08,top3
Salad Bar Salad (v/v+),reviewed,Add Mixed Greens,412018710,PREPARED,1,EACH,3,1,3,0.1,0.30000000000000004,0.1,search
"Salami, Egg, and Cheese",reviewed,"Salami, Egg, and Cheese Sandwich",245925260,MENU,1,EACH,1,1,1,1.8,1.8,1.8,top3
Seed + Mill Chocolate Halva,reviewed,"Seed & Mill, Chocolate",413242300,MENU,1,EACH,1,1,1,6.35,6.35,6.35,top3
Seed + Mill Pistachio Halva,reviewed,"Seed & Mill, Pistachio",413242624,MENU,1,EACH,1,1,1,6.35,6.35,6.35,top3
Seedy Everything Crackers (9oz bag),reviewed,Retail - Seedy Everything Crackers,425513959,MENU,1,BAG,1,1,1,1.46,1.46,1.46,top3
Sesame Crunch Candy each,reviewed,"Candy, Sesame Crunch",413237895,MENU,1,EACH,1,1,1,0.09,0.09,0.09,top3
Sesame Tahini Cookie (v),reviewed,Bakery - Tahini Cookies,785952098,PREPARED,1,EACH,1,1,1,0.2,0.2,0.2,search
Side of Bagel Topping Veggies,no_match,,,,,,,,,,,,
Side of Cream Cheese (2oz),no_match,,,,,,,,,,,,
Side of Deli Mustard,reviewed,Side of Mustard,301816892,MENU,1,EACH,1,1,1,0.28,0.28,0.28,top3
Side of Homemade Russian Dressing,reviewed,Side of Russian Dressing,301818243,MENU,1,EACH,1,1,1,0.1,0.1,0.1,top3
Side of Lox (2oz),reviewed,2oz. Lox OTS,410123013,PREPARED,2,OUNCE,1,1,1,1.88,1.88,1.88,search
Slivovitz (1oz),no_match,,,,,,,,,,,,
Smoked Fish Platter (serves 6),reviewed,Smoked Fish Platter (for 6),316850942,MENU,1,EACH,1,1,1,22.26,22.26,22.26,top3
Smoked Fish Platter for Two,reviewed,Smoked FIsh Platter (for 2),316851975,MENU,1,EACH,1,1,1,11.7,11.7,11.7,top3
Smoked Mushroom Rachel (v),reviewed,Mushroom Rachel,301808180,MENU,1,EACH,1,1,1,2.94,2.94,2.94,top3
Smoked Mushroom Reuben (v),reviewed,Mushroom Reuben,301806339,MENU,1,EACH,1,1,1,3.14,3.14,3.14,top3
Smoked Sable (1/4 lb hand sliced),reviewed,1/4# Sable,247932342,MENU,1,EACH,1,1,1,7.38,7.38,7.38,search
Smoked Sable Sandwich,reviewed,Sable Sandwich,247940838,MENU,1,EACH,1,1,1,4.11,4.11,4.11,top3
Soom Chocolate Tahini (11oz),reviewed,"Transfer - Retail, Soom Tahini Jars, Chocolate ",312317720,PREPARED,1,JAR,1,1,1,5.95,5.95,5.95,search
Soom Sesame Tahini (11oz),reviewed,"Transfer - Retail, Soom Tahini Jars, Plain ",422372683,PREPARED,1,JAR,1,1,1,10.04,10.04,10.04,search
Sour Cream Walnut Coffee Cake Slice (v),reviewed,Coffee Cake - Slice,472339488,MENU,1,EACH,1,1,1,0.53,0.53,0.53,top3
Spindrift Grapefruit Sparkling Water,reviewed,Spindrift - Grapefruit,379449035,MENU,1,CAN,1,1,1,0.97,0.97,0.97,top3
Spindrift Orange Mango Sparkling Water,reviewed,Sprindrift - Orange Mango,379450135,MENU,1,CAN,1,1,1,0.97,0.97,0.97,top3
Spindrift Pineapple Sparkling Water,reviewed,Spindrift - Pineapple,379450542,MENU,1,CAN,1,1,1,0.97,0.97,0.97,top3
Swiss Cheese (1 lb),reviewed,Swiss Cheese (retail 1/2#),301897650,MENU,1,BAG,2,1,2,1.45,2.9,1.45,top3
Swiss Cheese (1/2 lb),reviewed,Swiss Cheese (retail 1/2#),301897650,MENU,1,BAG,1,1,1,1.45,1.45,1.45,top3
Tea bags (from Box of Hot Water & MEM Tea bags),no_match,,,,,,,,,,,,
"Tequila, TC Craft  (1.5oz)",no_match,,,,,,,,,,,,
Tip Top Espresso Martini,no_match,,,,,,,,,,,,
Tip Top Negroni,no_match,,,,,,,,,,,,
Tip Top Old Fashioned,no_match,,,,,,,,,,,,
Ukrainian Beef Borscht (frozen quart),reviewed,Beef Borscht (retail quart),301910878,MENU,1,QUART,1,1,1,5.22,5.22,5.22,top3
Vegan Matzah Ball Soup (frozen quart),reviewed,Vegan Matzah Ball Soup,842800239,MENU,1,EACH,1,1,1,3.91,3.91,3.91,top3
Vodka Pickled Cucumber Soda,no_match,,,,,,,,,,,,
Vodka Raspberry Lime Rickey,no_match,,,,,,,,,,,,
"Vodka, GrandTen (1.5oz)",no_match,,,,,,,,,,,,
Whole Chocolate Layer Cake (v),reviewed,Chocolate Layer Cake - Slice,401515594,MENU,1,SLICE,1,1,1,1.16,1.16,1.16,top3
Zab's Hot Sauce (6oz),no_match,,,,,,,,,,,,
Zero Gravity / Little Wolf Pale Ale (16oz can),no_match,,,,,,,,,,,,
Bartolomeo Prosecco (187ml btl),unresolved,,,,,,,,,,,,

modifier_name,qty_last_60_days,last_seen,status,recipe_name,recipe_id,category,yield_qty,yield_unit,scale_numerator,scale_denominator,scale_decimal,cost,effective_cost,cost_sign,match_source
toasted,11574,2026-08-06,excluded,,,,,,,,,,,,
everything bagel,6756,2026-08-06,reviewed,Everything Bagel,246271713,MENU,1,EACH,1,1,1,0.18,0.18,add,top3
plain bagel,4042,2026-08-05,reviewed,Plain Bagel,246264737,MENU,1,EACH,1,1,1,0.1,0.1,add,top3
"everything, bulk",3758,2026-08-06,reviewed,Everything Bagel,246271713,MENU,1,EACH,1,1,1,0.18,0.18,add,top3
